date,symbol,action,shares,price,value,pnl,reason
2020-09-23,INDUSINDBK,SELL,12,509.9400634765625,6119.28076171875,427.6138916015625,signal
2020-09-23,JSWSTEEL,SELL,6,253.88365173339844,1523.3019104003906,433.5383605957031,signal
2020-09-23,POWERGRID,SELL,18,68.18222045898438,1227.2799682617188,-87.81028747558594,signal
2020-09-23,SBILIFE,SELL,4,822.962158203125,3291.8486328125,-136.93017578125,signal
2020-09-23,TATACONSUM,SELL,3,474.81646728515625,1424.4494018554688,190.05166625976562,signal
2020-09-23,TITAN,SELL,1,1100.089599609375,1100.089599609375,127.861572265625,signal
2020-09-30,BAJAJ-AUTO,SELL,1,2519.467529296875,2519.467529296875,-137.162109375,signal
2020-09-30,BRITANNIA,BUY,1,3505.52685546875,3505.52685546875,,
2020-09-30,EICHERMOT,BUY,2,2100.152587890625,4200.30517578125,,
2020-09-30,HINDALCO,BUY,30,169.12832641601562,5073.849792480469,,
2020-09-30,JSWSTEEL,BUY,17,262.9238586425781,4469.705596923828,,
2020-09-30,TITAN,BUY,3,1182.9508056640625,3548.8524169921875,,
2020-09-30,UPL,SELL,6,477.7296752929688,2866.378051757813,-145.912353515625,signal
2020-10-07,ADANIPORTS,BUY,11,350.0892639160156,3850.981903076172,,
2020-10-07,ASIANPAINT,BUY,1,2011.7740478515625,2011.7740478515625,,
2020-10-07,AXISBANK,BUY,6,451.2160034179688,2707.296020507813,,
2020-10-07,BAJAJFINSV,BUY,1,589.1995239257812,589.1995239257812,,
2020-10-07,BAJFINANCE,BUY,9,326.3072509765625,2936.7652587890625,,
2020-10-07,HDFCBANK,BUY,5,550.427490234375,2752.137451171875,,
2020-10-07,ICICIBANK,BUY,7,370.0942993164063,2590.660095214844,,
2020-10-07,INDUSINDBK,BUY,4,597.8673706054688,2391.469482421875,,
2020-10-07,KOTAKBANK,BUY,5,263.83770751953125,1319.1885375976562,,
2020-10-07,SBIN,BUY,7,175.96205139160156,1231.734359741211,,
2020-10-07,SUNPHARMA,BUY,3,482.8627624511719,1448.5882873535156,,
2020-10-07,TATASTEEL,BUY,55,31.94716453552246,1757.0940494537354,,
2020-10-21,BRITANNIA,SELL,1,3135.513671875,3135.513671875,-370.01318359375,stop_loss
2020-10-21,BAJFINANCE,SELL,9,316.6781311035156,2850.1031799316406,-86.66207885742188,signal
2020-10-21,CIPLA,SELL,6,738.870361328125,4433.22216796875,83.798583984375,signal
2020-10-21,EICHERMOT,SELL,2,2079.701904296875,4159.40380859375,-40.9013671875,signal
2020-10-21,M_M,SELL,11,573.2088623046875,6305.2974853515625,1105.80615234375,signal
2020-10-21,RELIANCE,SELL,7,963.3600463867188,6743.520324707031,1637.1484985351562,signal
2020-10-21,SUNPHARMA,SELL,3,462.5292053222656,1387.5876159667969,-61.00067138671875,signal
2020-10-21,TCS,SELL,1,2347.41552734375,2347.41552734375,400.0650634765625,signal
2020-10-21,ULTRACEMCO,BUY,1,4504.05859375,4504.05859375,,
2020-10-28,APOLLOHOSP,SELL,3,2052.464111328125,6157.392333984375,1164.227783203125,signal
2020-10-28,BAJAJFINSV,SELL,1,562.9684448242188,562.9684448242188,-26.2310791015625,signal
2020-10-28,BAJFINANCE,BUY,12,330.1911926269531,3962.2943115234375,,
2020-10-28,HCLTECH,SELL,17,675.4970092773438,11483.449157714844,3595.3786010742188,signal
2020-10-28,HEROMOTOCO,SELL,1,2431.56005859375,2431.56005859375,-90.78515625,signal
2020-10-28,INFY,SELL,2,947.7089233398438,1895.4178466796875,651.420166015625,signal
2020-10-28,LT,BUY,6,914.95458984375,5489.7275390625,,
2020-10-28,NESTLEIND,BUY,5,802.888671875,4014.443359375,,
2020-10-28,NTPC,BUY,67,71.22297668457031,4771.939437866211,,
2020-10-28,POWERGRID,BUY,30,71.90540313720703,2157.162094116211,,
2020-10-28,SBIN,SELL,7,175.73138427734375,1230.1196899414062,-1.6146697998046875,signal
2020-10-28,TATACONSUM,BUY,9,474.1430358886719,4267.287322998047,,
2020-10-28,TECHM,SELL,2,649.905029296875,1299.81005859375,364.539794921875,signal
2020-10-28,WIPRO,SELL,5,154.70558166503906,773.5279083251953,270.67138671875,signal
2020-11-04,HDFCLIFE,BUY,2,585.291748046875,1170.58349609375,,
2020-11-04,TECHM,BUY,6,694.012451171875,4164.07470703125,,
2020-11-11,APOLLOHOSP,BUY,1,2167.016357421875,2167.016357421875,,
2020-11-11,BAJAJFINSV,BUY,4,692.9210815429688,2771.684326171875,,
2020-11-11,BPCL,BUY,5,133.2555694580078,666.2778472900391,,
2020-11-11,EICHERMOT,BUY,1,2218.278564453125,2218.278564453125,,
2020-11-11,INFY,BUY,3,988.1595458984376,2964.478637695313,,
2020-11-11,M_M,BUY,2,604.0706787109375,1208.141357421875,,
2020-11-11,RELIANCE,BUY,1,905.5928955078124,905.5928955078124,,
2020-11-11,SBIN,BUY,11,216.1002349853516,2377.1025848388676,,
2020-11-11,WIPRO,BUY,14,159.82171630859375,2237.5040283203125,,
2020-11-18,ITC,BUY,1,141.20497131347656,141.20497131347656,,
2020-11-18,SBILIFE,BUY,1,847.611572265625,847.611572265625,,
2020-11-18,SUNPHARMA,BUY,1,484.0421752929688,484.0421752929688,,
2020-11-25,COALINDIA,BUY,8,79.06525421142578,632.5220336914062,,
2020-11-25,HCLTECH,BUY,2,671.50732421875,1343.0146484375,,
2020-11-25,ONGC,BUY,6,58.14130783081055,348.8478469848633,,
2020-12-02,BPCL,SELL,5,130.04258728027344,650.2129364013672,-16.064910888671875,signal
2020-12-02,CIPLA,BUY,2,730.4423217773438,1460.8846435546875,,
2020-12-02,HDFCLIFE,SELL,2,626.90478515625,1253.8095703125,83.22607421875,signal
2020-12-09,BHARTIARTL,BUY,2,482.6000671386719,965.2001342773438,,
2020-12-09,BPCL,BUY,1,133.64453125,133.64453125,,
2020-12-16,M_M,SELL,2,698.2778930664062,1396.5557861328125,188.4144287109375,signal
2020-12-21,BPCL,SELL,1,124.2422103881836,124.2422103881836,-9.402320861816406,stop_loss
2020-12-23,COALINDIA,SELL,8,86.14570617675781,689.1656494140625,56.64361572265625,signal
2020-12-23,GRASIM,SELL,2,876.0869750976562,1752.1739501953125,567.2093505859375,signal
2020-12-23,HINDALCO,SELL,30,227.9492645263672,6838.477935791016,1764.6281433105469,signal
2020-12-23,HINDUNILVR,BUY,1,2179.786865234375,2179.786865234375,,
2020-12-23,INDUSINDBK,SELL,4,826.0149536132812,3304.059814453125,912.59033203125,signal
2020-12-23,ITC,SELL,1,159.3878631591797,159.3878631591797,18.182891845703125,signal
2020-12-23,NTPC,SELL,67,79.67110443115234,5337.963996887207,566.0245590209961,signal
2020-12-23,ONGC,SELL,6,65.33702087402344,392.0221252441406,43.174278259277344,signal
2020-12-23,RELIANCE,SELL,1,881.40234375,881.40234375,-24.190551757812386,signal
2020-12-23,SBIN,SELL,11,242.67446899414065,2669.4191589355473,292.3165740966797,signal
2020-12-23,TCS,BUY,1,2552.157958984375,2552.157958984375,,
2020-12-30,BAJAJ-AUTO,BUY,1,3015.341552734375,3015.341552734375,,
2020-12-30,GRASIM,BUY,3,907.5562744140624,2722.668823242187,,
2020-12-30,HDFCLIFE,BUY,4,665.5138549804688,2662.055419921875,,
2020-12-30,INDUSINDBK,BUY,3,868.2161865234375,2604.6485595703125,,
2020-12-30,ITC,BUY,15,161.996337890625,2429.945068359375,,
2020-12-30,SBIN,BUY,8,255.500228881836,2044.001831054688,,
2021-01-06,BPCL,BUY,15,130.9895477294922,1964.8432159423828,,
2021-01-06,HINDALCO,BUY,7,250.0010528564453,1750.0073699951172,,
2021-01-06,M_M,BUY,2,702.2369995117188,1404.4739990234375,,
2021-01-06,ONGC,BUY,21,69.76237487792969,1465.0098724365234,,
2021-01-13,COALINDIA,BUY,14,93.00293731689452,1302.0411224365232,,
2021-01-13,KOTAKBANK,SELL,5,374.8539733886719,1874.2698669433594,555.0813293457031,signal
2021-01-13,NESTLEIND,SELL,5,851.8231811523438,4259.115905761719,244.67254638671875,signal
2021-01-13,NTPC,BUY,21,82.90484619140625,1741.0017700195312,,
2021-01-13,TITAN,SELL,3,1482.7381591796875,4448.2144775390625,899.362060546875,signal
2021-01-13,UPL,BUY,4,467.09027099609375,1868.361083984375,,
2021-01-20,ASIANPAINT,SELL,1,2581.72998046875,2581.72998046875,569.9559326171875,signal
2021-01-20,CIPLA,SELL,2,802.1525268554688,1604.3050537109375,143.42041015625,signal
2021-01-20,DIVISLAB,SELL,1,3497.66259765625,3497.66259765625,350.5224609375,signal
2021-01-20,DRREDDY,SELL,1,984.68798828125,984.68798828125,202.37786865234375,signal
2021-01-20,HCLTECH,SELL,2,813.6334838867188,1627.2669677734375,284.2523193359375,signal
2021-01-20,HEROMOTOCO,BUY,1,2703.4208984375,2703.4208984375,,
2021-01-20,RELIANCE,BUY,1,931.6651611328124,931.6651611328124,,
2021-01-20,SBILIFE,SELL,1,885.9439697265625,885.9439697265625,38.3323974609375,signal
2021-01-20,TATACONSUM,SELL,9,574.003173828125,5166.028564453125,898.7412414550781,signal
2021-01-20,TECHM,SELL,6,855.67041015625,5134.0224609375,969.94775390625,signal
2021-01-22,HINDALCO,SELL,7,230.84445190429688,1615.9111633300781,-134.09620666503906,stop_loss
2021-01-22,COALINDIA,SELL,14,84.96563720703125,1189.5189208984375,-112.52220153808574,stop_loss
2021-01-22,NTPC,SELL,21,76.03315734863281,1596.696304321289,-144.3054656982422,stop_loss
2021-01-27,INDUSINDBK,SELL,3,792.022216796875,2376.066650390625,-228.5819091796875,stop_loss
2021-01-27,ONGC,SELL,21,64.54548645019531,1355.4552154541016,-109.55465698242188,stop_loss
2021-01-27,RELIANCE,SELL,1,859.252197265625,859.252197265625,-72.41296386718739,stop_loss
2021-01-27,AXISBANK,SELL,6,629.4717407226562,3776.8304443359375,1069.5344238281245,signal
2021-01-27,BPCL,SELL,15,128.72354125976562,1930.8531188964844,-33.99009704589844,signal
2021-01-27,CIPLA,BUY,6,811.49560546875,4868.9736328125,,
2021-01-27,HDFCBANK,SELL,5,667.5694580078125,3337.8472900390625,585.7098388671875,signal
2021-01-27,HDFCLIFE,SELL,4,672.5560913085938,2690.224365234375,28.1689453125,signal
2021-01-27,ICICIBANK,SELL,7,505.2103576660156,3536.4725036621094,945.8124084472652,signal
2021-01-27,INFY,SELL,3,1145.296875,3435.890625,471.41198730468716,signal
2021-01-27,JSWSTEEL,SELL,17,356.166015625,6054.822265625,1585.1166687011719,signal
2021-01-27,M_M,SELL,2,734.52978515625,1469.0595703125,64.5855712890625,signal
2021-01-27,POWERGRID,SELL,30,82.10989379882812,2463.2968139648438,306.1347198486328,signal
2021-01-27,SBIN,SELL,8,254.3468170166016,2034.7745361328127,-9.227294921875227,signal
2021-01-27,SUNPHARMA,SELL,1,537.6358642578125,537.6358642578125,53.59368896484369,signal
2021-01-27,TATASTEEL,SELL,55,53.89093017578125,2964.0011596679688,1206.9071102142334,signal
2021-01-27,ULTRACEMCO,SELL,1,5258.853515625,5258.853515625,754.794921875,signal
2021-02-03,AXISBANK,BUY,10,730.7488403320312,7307.4884033203125,,
2021-02-03,BPCL,BUY,50,140.32420349121094,7016.210174560547,,
2021-02-03,DIVISLAB,BUY,1,3569.979248046875,3569.979248046875,,
2021-02-03,HDFCBANK,BUY,8,745.80615234375,5966.44921875,,
2021-02-03,HINDALCO,BUY,22,248.2639617919922,5461.807159423828,,
2021-02-03,HINDUNILVR,SELL,1,2053.34130859375,2053.34130859375,-126.445556640625,signal
2021-02-03,ICICIBANK,BUY,8,601.92919921875,4815.43359375,,
2021-02-03,INDUSINDBK,BUY,4,1012.5890502929688,4050.356201171875,,
2021-02-03,JSWSTEEL,BUY,11,371.9272766113281,4091.2000427246094,,
2021-02-03,KOTAKBANK,BUY,10,368.8988037109375,3688.988037109375,,
2021-02-03,M_M,BUY,4,794.8701171875,3179.48046875,,
2021-02-03,POWERGRID,BUY,37,88.15019989013672,3261.5573959350586,,
2021-02-03,SBIN,BUY,9,309.9866638183594,2789.8799743652344,,
2021-02-03,SUNPHARMA,BUY,4,593.6829223632812,2374.731689453125,,
2021-02-03,TCS,SELL,1,2813.090576171875,2813.090576171875,260.9326171875,signal
2021-02-03,TITAN,BUY,1,1501.79150390625,1501.79150390625,,
2021-02-10,ASIANPAINT,BUY,1,2403.07373046875,2403.07373046875,,
2021-02-10,COALINDIA,BUY,26,88.21884155273438,2293.6898803710938,,
2021-02-10,DRREDDY,BUY,1,934.9561157226562,934.9561157226562,,
2021-02-10,HCLTECH,BUY,2,784.3665161132812,1568.7330322265625,,
2021-02-10,HDFCLIFE,BUY,2,708.2103881835938,1416.4207763671875,,
2021-02-10,INFY,BUY,1,1141.33544921875,1141.33544921875,,
2021-02-10,NTPC,BUY,20,80.7220687866211,1614.4413757324219,,
2021-02-10,ONGC,BUY,20,71.95706176757812,1439.1412353515625,,
2021-02-10,SBILIFE,BUY,1,900.3679809570312,900.3679809570312,,
2021-02-10,TATACONSUM,BUY,2,577.947509765625,1155.89501953125,,
2021-02-10,TATASTEEL,BUY,18,59.42206954956055,1069.5972518920898,,
2021-02-10,TECHM,BUY,1,818.277587890625,818.277587890625,,
2021-02-10,UPL,SELL,4,507.6531066894531,2030.6124267578125,162.2513427734375,signal
2021-02-17,EICHERMOT,SELL,1,2569.89306640625,2569.89306640625,351.614501953125,signal
2021-02-17,ITC,SELL,15,167.0599365234375,2505.8990478515625,75.9539794921875,signal
2021-02-17,RELIANCE,BUY,1,944.6106567382812,944.6106567382812,,
2021-02-17,TITAN,SELL,1,1438.0333251953125,1438.0333251953125,-63.7581787109375,signal
2021-02-22,DRREDDY,SELL,1,866.191650390625,866.191650390625,-68.76446533203125,stop_loss
2021-02-24,ASIANPAINT,SELL,1,2260.21630859375,2260.21630859375,-142.857421875,signal
2021-02-24,AXISBANK,SELL,10,746.2839965820312,7462.8399658203125,155.3515625,signal
2021-02-24,BAJAJ-AUTO,SELL,1,3438.328125,3438.328125,422.986572265625,signal
2021-02-24,BAJFINANCE,SELL,12,544.9213256835938,6539.055908203125,2576.7615966796875,signal
2021-02-24,BHARTIARTL,SELL,2,549.6585083007812,1099.3170166015625,134.11688232421875,signal
2021-02-24,CIPLA,SELL,6,760.0125732421875,4560.075439453125,-308.898193359375,signal
2021-02-24,DIVISLAB,SELL,1,3375.777587890625,3375.777587890625,-194.20166015625,signal
2021-02-24,KOTAKBANK,SELL,10,380.6497192382813,3806.497192382813,117.50915527343807,signal
2021-02-24,M_M,SELL,4,810.515625,3242.0625,62.58203125,signal
2021-02-24,SBILIFE,SELL,1,861.0476684570312,861.0476684570312,-39.3203125,signal
2021-02-24,SUNPHARMA,SELL,4,572.46044921875,2289.841796875,-84.889892578125,signal
2021-02-24,TECHM,SELL,1,805.813232421875,805.813232421875,-12.46435546875,signal
2021-02-24,UPL,BUY,10,526.224609375,5262.24609375,,
2021-03-03,SBILIFE,BUY,4,895.527099609375,3582.1083984375,,
2021-03-03,SUNPHARMA,BUY,8,594.256591796875,4754.052734375,,
2021-03-03,TITAN,BUY,2,1452.015869140625,2904.03173828125,,
2021-03-10,APOLLOHOSP,SELL,1,2866.61865234375,2866.61865234375,699.602294921875,signal
2021-03-10,AXISBANK,BUY,5,757.5867919921875,3787.9339599609375,,
2021-03-10,EICHERMOT,BUY,1,2547.7744140625,2547.7744140625,,
2021-03-10,INDUSINDBK,SELL,4,1004.1873168945312,4016.749267578125,-33.60693359375,signal
2021-03-10,KOTAKBANK,BUY,6,391.1558532714844,2346.9351196289062,,
2021-03-10,M_M,BUY,4,824.0624389648438,3296.249755859375,,
2021-03-10,TCS,BUY,1,2699.601318359375,2699.601318359375,,
2021-03-10,TECHM,BUY,3,846.6893920898438,2540.0681762695312,,
2021-03-17,ADANIPORTS,SELL,11,668.0962524414062,7349.058776855469,3498.076873779297,signal
2021-03-17,APOLLOHOSP,BUY,1,2958.71435546875,2958.71435546875,,
2021-03-17,BAJAJFINSV,SELL,4,950.3718872070312,3801.487548828125,1029.80322265625,signal
2021-03-17,BPCL,SELL,50,151.94117736816406,7597.058868408203,580.8486938476562,signal
2021-03-17,COALINDIA,SELL,26,92.27310180664062,2399.1006469726562,105.4107666015625,signal
2021-03-17,HDFCLIFE,SELL,2,679.4013061523438,1358.8026123046875,-57.6181640625,signal
2021-03-17,HEROMOTOCO,SELL,1,2686.720703125,2686.720703125,-16.7001953125,signal
2021-03-17,RELIANCE,SELL,1,931.9599609375,931.9599609375,-12.65069580078125,signal
2021-03-17,SBILIFE,SELL,4,878.2379150390625,3512.95166015625,-69.15673828125,signal
2021-03-17,SUNPHARMA,SELL,8,556.5654296875,4452.5234375,-301.529296875,signal
2021-03-17,TATACONSUM,SELL,2,580.4487915039062,1160.8975830078125,5.0025634765625,signal
2021-03-18,ICICIBANK,SELL,8,559.6146850585938,4476.91748046875,-338.51611328125,stop_loss
2021-03-22,KOTAKBANK,SELL,6,363.0134582519531,2178.0807495117188,-168.8543701171875,stop_loss
2021-03-24,AXISBANK,SELL,5,703.4628295898438,3517.3141479492188,-270.61981201171875,stop_loss
2021-03-24,HDFCBANK,SELL,8,700.3417358398438,5602.73388671875,-363.71533203125,signal
2021-03-24,HINDUNILVR,BUY,1,2132.197265625,2132.197265625,,
2021-03-24,ITC,BUY,45,169.76089477539062,7639.240264892578,,
2021-03-24,LT,SELL,6,1299.24462890625,7795.4677734375,2305.740234375,signal
2021-03-24,ONGC,SELL,20,76.70481872558594,1534.0963745117188,94.95513916015625,signal
