date,portfolio_value,cash,n_positions,regime
2022-11-02,178566.44522424156,30871.419734434425,32,0
2022-11-03,178272.42866082603,30871.419734434425,32,0
2022-11-04,179254.30444665367,30871.419734434425,32,0
2022-11-07,180050.080501036,30871.419734434425,32,0
2022-11-08,180050.080501036,30871.419734434425,32,0
2022-11-09,179714.310815306,44263.23643633872,29,0
2022-11-10,178651.79271075278,44263.23643633872,29,0
2022-11-11,179734.86848589926,44263.23643633872,29,0
2022-11-14,179557.86347338706,44263.23643633872,29,0
2022-11-15,180276.53741595297,44263.23643633872,29,0
2022-11-16,180021.18869505147,65190.17506895284,22,0
2022-11-17,179790.63094816427,65190.17506895284,22,0
2022-11-18,179482.67040739278,65190.17506895284,22,0
2022-11-21,179032.16100797872,65190.17506895284,22,0
2022-11-22,179477.600911238,65190.17506895284,22,0
2022-11-23,179558.1032858489,78954.50189119557,20,0
2022-11-24,180808.8602438567,78954.50189119557,20,0
2022-11-25,180861.13247591237,78954.50189119557,20,0
2022-11-28,180469.651129782,78954.50189119557,20,0
2022-11-29,180727.64703279713,78954.50189119557,20,0
2022-11-30,181458.66275528556,38577.84490707998,30,0
2022-12-01,181905.97096756584,38577.84490707998,30,0
2022-12-02,181635.1462452758,38577.84490707998,30,0
2022-12-05,181970.59152725822,38577.84490707998,30,0
2022-12-06,180968.79263809806,38577.84490707998,30,0
2022-12-07,180385.0014211486,40169.48801630239,31,0
2022-12-08,180873.46928613883,40169.48801630239,31,0
2022-12-09,179893.18620508414,40169.48801630239,31,0
2022-12-12,180217.80836694938,40169.48801630239,31,0
2022-12-13,180909.51891535026,40169.48801630239,31,0
2022-12-14,181596.49511899403,66268.99392880849,24,0
2022-12-15,180628.1487521117,66268.99392880849,24,0
2022-12-16,179552.60405911854,66268.99392880849,24,0
2022-12-19,180754.61927976063,66268.99392880849,24,0
2022-12-20,180254.1368960326,66268.99392880849,24,0
2022-12-21,178988.8244256957,71643.40625095204,22,0
2022-12-22,178288.77368259267,71643.40625095204,22,0
2022-12-23,175986.07912689046,75149.37099700765,21,0
2022-12-26,177069.13115173177,75149.37099700765,21,0
2022-12-27,178028.44378906087,75149.37099700765,21,0
2022-12-28,177559.9130064376,125380.45209182578,11,0
2022-12-29,177737.68466628867,125380.45209182578,11,0
2022-12-30,177592.31346572714,125380.45209182578,11,0
2023-01-02,177977.29713882285,125380.45209182578,11,0
2023-01-03,178155.62360061484,125380.45209182578,11,0
2023-01-04,177383.33187405235,55140.035769621216,20,0
2023-01-05,177718.8783904708,55140.035769621216,20,0
2023-01-06,176753.76300350792,55140.035769621216,20,0
2023-01-09,178374.42587582237,55140.035769621216,20,0
2023-01-10,177276.1886932052,55140.035769621216,20,0
2023-01-11,177539.55845931848,46692.67418960413,23,0
2023-01-12,177514.3950682052,46692.67418960413,23,0
2023-01-13,178723.33317855676,46692.67418960413,23,0
2023-01-16,178366.24457839807,46692.67418960413,23,0
2023-01-17,179016.5521345504,46692.67418960413,23,0
2023-01-18,179457.2726575149,46564.52253544458,24,0
2023-01-19,179031.50335032496,56930.56237895044,23,0
2023-01-20,177946.3262644485,56930.56237895044,23,0
2023-01-23,178367.60357005152,56930.56237895044,23,0
2023-01-24,178006.49105937037,56930.56237895044,23,0
2023-01-25,176985.695701506,79980.70740499719,19,0
2023-01-26,176985.695701506,79980.70740499719,19,0
2023-01-27,175925.46895590052,79980.70740499719,19,0
2023-01-30,175567.71231832728,79980.70740499719,19,0
2023-01-31,175923.10489645228,79980.70740499719,19,0
2023-02-01,175616.3851738876,105405.3766442245,15,0
2023-02-02,175429.46798333584,105405.3766442245,15,0
2023-02-03,175993.03168878017,105405.3766442245,15,0
2023-02-06,175749.495678038,105405.3766442245,15,0
2023-02-07,174825.2848778671,105405.3766442245,15,0
2023-02-08,175236.1649344772,114789.812227568,14,0
2023-02-09,175320.74106057582,114789.812227568,14,0
2023-02-10,175112.54184182582,114789.812227568,14,0
2023-02-13,174932.74846108851,114789.812227568,14,0
2023-02-14,175293.30746682582,114789.812227568,14,0
2023-02-15,175352.24689347684,81971.32500321805,20,0
2023-02-16,175987.38429887235,81971.32500321805,20,0
2023-02-17,175825.77921159207,81971.32500321805,20,0
2023-02-20,175667.15436417997,81971.32500321805,20,0
2023-02-21,175418.3837953323,81971.32500321805,20,0
2023-02-22,174377.63449101103,83227.8859100784,19,2
2023-02-23,174078.74568083035,87432.66227628934,18,2
2023-02-24,174161.98461820828,87432.66227628934,18,2
2023-02-27,173323.50508134306,90189.13351457058,17,2
2023-02-28,173020.3486283401,94920.85189372097,15,2
2023-03-01,173501.57113317715,103327.07841161953,13,2
2023-03-02,173265.58372167812,103327.07841161953,13,2
2023-03-03,173827.46352819668,103327.07841161953,13,2
2023-03-06,174143.4063077377,103327.07841161953,13,2
2023-03-07,174143.4063077377,103327.07841161953,13,2
2023-03-08,174543.9158904098,90189.97692556605,15,2
2023-03-09,174026.3730344528,93835.68986794887,14,2
2023-03-10,173725.2255735153,93835.68986794887,14,2
2023-03-13,173069.7253714889,100621.51870644985,13,2
2023-03-14,172498.7256614059,100621.51870644985,13,2
2023-03-15,172652.04307473596,100621.51870644985,13,2
2023-03-16,172852.8686515182,100621.51870644985,13,2
2023-03-17,173268.28135598596,100621.51870644985,13,2
2023-03-20,172779.41317867883,102165.42717098842,12,2
2023-03-21,172777.32444882044,102165.42717098842,12,2
2023-03-22,172861.8222344192,101213.08067252956,12,2
2023-03-23,172754.65138175807,101213.08067252956,12,2
2023-03-24,171997.2006066116,101213.08067252956,12,2
2023-03-27,171946.4216912063,101213.08067252956,12,2
2023-03-28,171465.515609053,101213.08067252956,12,2
2023-03-29,172255.8477007278,108650.32348502956,11,2
2023-03-30,172255.8477007278,108650.32348502956,11,2
2023-03-31,172964.09155143582,108650.32348502956,11,2
2023-04-03,173018.56805035245,115451.88253399501,10,2
2023-04-04,173018.56805035245,115451.88253399501,10,2
2023-04-05,173575.5255969833,109663.45589483486,11,2
2023-04-06,173271.82631719814,109663.45589483486,11,2
2023-04-07,173271.82631719814,109663.45589483486,11,2
2023-04-10,174229.66208685146,109663.45589483486,11,2
2023-04-11,174620.15149725185,109663.45589483486,11,2
2023-04-12,174856.81785810695,118406.89143598781,9,2
2023-04-13,174854.50869978176,118406.89143598781,9,2
2023-04-14,174854.50869978176,118406.89143598781,9,2
2023-04-17,174846.75500561367,124812.77316357265,8,2
2023-04-18,174735.678375975,124812.77316357265,8,2
2023-04-19,174624.61984309228,61557.561447706554,17,0
2023-04-20,174503.58316096338,61557.561447706554,17,0
2023-04-21,174651.66268977197,61557.561447706554,17,0
2023-04-24,175135.23065241845,61557.561447706554,17,0
2023-04-25,175686.5432287124,61557.561447706554,17,0
2023-04-26,175911.32259919582,45730.590375685075,22,0
2023-04-27,176808.12153413234,45730.590375685075,22,0
2023-04-28,177710.3614175552,45730.590375685075,22,0
2023-05-01,177710.3614175552,45730.590375685075,22,0
2023-05-02,178639.36817719875,45730.590375685075,22,0
2023-05-03,178360.25863174282,22183.71467117153,33,0
2023-05-04,179380.47165969692,22183.71467117153,33,0
2023-05-05,179310.84908584438,22183.71467117153,33,0
2023-05-08,180880.0167341598,22183.71467117153,33,0
2023-05-09,180648.80590347134,22183.71467117153,33,0
2023-05-10,181239.01325936732,21236.682601408345,34,0
2023-05-11,180608.27001901087,21236.682601408345,34,0
2023-05-12,179837.97637133632,24012.35407214199,33,0
2023-05-15,180288.88256030116,24012.35407214199,33,0
2023-05-16,180277.1436839584,24012.35407214199,33,0
2023-05-17,179428.03221380457,43638.184313413956,30,0
2023-05-18,178849.39737188563,43638.184313413956,30,0
2023-05-19,178635.18519842371,43638.184313413956,30,0
2023-05-22,179108.03154241786,43638.184313413956,30,0
2023-05-23,179473.90611517176,43638.184313413956,30,0
2023-05-24,179575.03275509487,50776.338236051895,29,0
2023-05-25,180334.0842077316,50776.338236051895,29,0
2023-05-26,181021.03003903042,50776.338236051895,29,0
2023-05-29,181276.79468746792,50776.338236051895,29,0
2023-05-30,181434.62635250698,50776.338236051895,29,0
2023-05-31,181254.442117308,36482.9735046371,36,0
2023-06-01,180901.84131774746,36482.9735046371,36,0
2023-06-02,181476.50744781338,36482.9735046371,36,0
2023-06-05,181452.8575988754,36482.9735046371,36,0
2023-06-06,181915.8171401962,36482.9735046371,36,0
2023-06-07,183210.11823736413,31933.35564886317,39,0
2023-06-08,182264.48752294763,31933.35564886317,39,0
2023-06-09,181617.6215103744,31933.35564886317,39,0
2023-06-12,182232.44603430017,31933.35564886317,39,0
2023-06-13,183232.78183447107,31933.35564886317,39,0
2023-06-14,183686.83542449796,42621.6301251205,36,0
2023-06-15,184103.62061889493,42621.6301251205,36,0
2023-06-16,185208.5112896713,42621.6301251205,36,0
2023-06-19,184798.2081127914,42621.6301251205,36,0
2023-06-20,185271.5444927963,42621.6301251205,36,0
2023-06-21,184973.44710186613,51584.60989025723,34,0
2023-06-22,183861.660724913,51584.60989025723,34,0
2023-06-23,182920.50092101895,53812.86963439785,33,0
2023-06-26,183457.89581847988,53812.86963439785,33,0
2023-06-27,184239.84942413174,53812.86963439785,33,0
2023-06-28,184981.39687475428,50288.48317083584,33,0
2023-06-29,184981.39687475428,50288.48317083584,33,0
2023-06-30,186156.0528195785,50288.48317083584,33,0
2023-07-03,186336.1532605575,50288.48317083584,33,0
2023-07-04,186723.6958249496,50288.48317083584,33,0
2023-07-05,187535.2662993301,23439.926791273472,42,0
2023-07-06,188580.76846607815,23439.926791273472,42,0
2023-07-07,186771.2269621719,23439.926791273472,42,0
2023-07-10,186310.69769581448,23439.926791273472,42,0
2023-07-11,187295.34643849026,23439.926791273472,42,0
2023-07-12,187177.13759168852,33624.541293470735,39,0
2023-07-13,187081.26673444975,33624.541293470735,39,0
2023-07-14,188320.16295942533,33624.541293470735,39,0
2023-07-17,188735.41221937406,33624.541293470735,39,0
2023-07-18,188601.3701737808,33624.541293470735,39,0
2023-07-19,189246.3208989395,40187.23837940824,37,0
2023-07-20,190166.4034795059,40187.23837940824,37,0
2023-07-21,189096.49722187652,40187.23837940824,37,0
2023-07-24,189016.29250996246,40187.23837940824,37,0
2023-07-25,188871.95368855132,40187.23837940824,37,0
2023-07-26,189170.4112949356,54123.37483405912,34,0
2023-07-27,188666.90701240386,57721.406806410196,33,0
2023-07-28,189199.3416742691,57721.406806410196,33,0
2023-07-31,190234.37089485014,57721.406806410196,33,0
2023-08-01,189620.9052652725,57721.406806410196,33,0
2023-08-02,188223.00647546232,78225.03964806974,27,0
2023-08-03,187514.81590844571,78225.03964806974,27,0
2023-08-04,188211.31253625333,78225.03964806974,27,0
2023-08-07,188772.49522973478,78225.03964806974,27,0
2023-08-08,188510.56902123868,78225.03964806974,27,0
2023-08-09,189230.90498510585,66915.62239233243,27,0
2023-08-10,189197.51281133876,66915.62239233243,27,0
2023-08-11,188515.9358841537,66915.62239233243,27,0
2023-08-14,188136.68792883144,66915.62239233243,27,0
2023-08-15,188136.68792883144,66915.62239233243,27,0
2023-08-16,188248.94248492277,70565.46128375088,24,0
2023-08-17,188176.7751570419,70565.46128375088,24,0
2023-08-18,187744.16372210538,70565.46128375088,24,0
2023-08-21,188528.87182147062,70565.46128375088,24,0
2023-08-22,188726.1124830917,70565.46128375088,24,0
2023-08-23,188347.16016334377,57162.6623606094,27,0
2023-08-24,187781.2176126846,57162.6623606094,27,0
2023-08-25,186652.87891334377,57162.6623606094,27,0
2023-08-28,186973.7752298721,57162.6623606094,27,0
2023-08-29,187468.3820566543,57162.6623606094,27,0
2023-08-30,187517.18656154478,53238.517593344084,28,0
2023-08-31,186949.68087764585,53238.517593344084,28,0
2023-09-01,189235.48889919126,53238.517593344084,28,0
2023-09-04,190522.93737789,53238.517593344084,28,0
2023-09-05,190990.9390563568,53238.517593344084,28,0
2023-09-06,191003.5670647949,39263.57582333981,31,0
2023-09-07,191997.75116971432,39263.57582333981,31,0
2023-09-08,192618.4537606567,39263.57582333981,31,0
2023-09-11,193883.35299924313,39263.57582333981,31,0
2023-09-12,192981.94069913327,39263.57582333981,31,0
2023-09-13,193743.52140256343,23198.16397305905,39,0
2023-09-14,194655.25140592037,23198.16397305905,39,0
2023-09-15,195378.88508817134,23198.16397305905,39,0
2023-09-18,195581.51925870357,23198.16397305905,39,0
2023-09-19,195581.51925870357,23198.16397305905,39,0
2023-09-20,194421.39708090818,27504.696588049286,38,0
2023-09-21,193284.17086936033,27504.696588049286,38,0
2023-09-22,193007.9282927612,27504.696588049286,38,0
2023-09-25,192901.35620261228,27504.696588049286,38,0
2023-09-26,192666.1040968994,27504.696588049286,38,0
2023-09-27,193127.2517471985,97664.95910651246,22,0
2023-09-28,192076.21231085816,97664.95910651246,22,0
2023-09-29,192995.50859839478,97664.95910651246,22,0
2023-10-02,192995.50859839478,97664.95910651246,22,0
2023-10-03,192445.73829657593,97664.95910651246,22,0
2023-10-04,191251.94733876648,128707.12364644471,15,0
2023-10-05,191323.38407582702,128707.12364644471,15,0
2023-10-06,191790.18523091736,128707.12364644471,15,0
2023-10-09,191251.6707943329,131835.45604976502,14,0
2023-10-10,192066.72918971864,131835.45604976502,14,0
2023-10-11,192252.9133571686,68292.57751122135,24,0
2023-10-12,191988.91083946842,68292.57751122135,24,0
2023-10-13,192236.47262993472,68292.57751122135,24,0
2023-10-16,192288.58658257144,68292.57751122135,24,0
2023-10-17,192806.49855461734,68292.57751122135,24,0
2023-10-18,191947.01802092593,47608.73211699527,32,0
2023-10-19,192228.87789183657,47608.73211699527,32,0
2023-10-20,191478.6125186066,47608.73211699527,32,0
2023-10-23,189222.71945508424,55774.772242865016,30,0
2023-10-24,189222.71945508424,55774.772242865016,30,0
2023-10-25,188258.63802419894,125401.95424734346,13,0
2023-10-26,187480.99849783175,125401.95424734346,13,0
2023-10-27,188553.69155203097,125401.95424734346,13,0
2023-10-30,188709.25466238253,125401.95424734346,13,0
